Analytics overview
2026-08-23 - 2026-09-22
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Impressions
2026-08-23,12480
2026-08-24,6200
2026-08-25,6695
2026-08-26,6489
2026-08-27,6868
2026-08-28,7091
2026-08-29,7550
2026-08-30,6896
2026-08-31,6361
2026-09-01,6409
2026-09-02,7422
2026-09-03,5594
2026-09-04,4745
2026-09-05,5828
2026-09-06,6028
2026-09-07,7158
2026-09-08,4579
2026-09-09,5971
2026-09-10,5865
2026-09-11,5877
2026-09-12,6403
2026-09-13,5774
2026-09-14,5343
2026-09-15,4515
2026-09-16,4906
2026-09-17,4126
2026-09-18,4741
2026-09-19,7656
2026-09-20,7862
2026-09-21,5303
2026-09-22,1963
Data starting from 2026-09-21 is an estimate that gets adjusted as it's verified over time.

Top Boards 2026-08-23 - 2026-09-22
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/ClarityBucketLists/_quick_creates/,72281,3527,2649,2,881
https://www.pinterest.com/ClarityBucketLists/family-friends-bucket-lists/,38389,3574,3198,1,376
https://www.pinterest.com/ClarityBucketLists/clarity-bucket-lists-restored/,36102,1872,1282,0,592
https://www.pinterest.com/ClarityBucketLists/tv-movie-bucket-lists/,7688,434,376,1,58
https://www.pinterest.com/ClarityBucketLists/aesthetic-life-bucket-lists/,7407,524,422,0,103
https://www.pinterest.com/ClarityBucketLists/self-care-bucket-lists/,6904,458,355,0,103
https://www.pinterest.com/ClarityBucketLists/coding-tech-skills-bucket-lists/,4243,164,101,0,65
https://www.pinterest.com/ClarityBucketLists/family-related-bucket-lists-restored/,3663,453,413,0,37
https://www.pinterest.com/ClarityBucketLists/broadway-theatre-kids/,2697,196,155,0,41
https://www.pinterest.com/ClarityBucketLists/food-drink-bucket-lists/,1553,102,84,0,18
https://www.pinterest.com/ClarityBucketLists/fall-bucket-lists/,1540,124,90,0,34
https://www.pinterest.com/ClarityBucketLists/music-concerts-theatre-bucket-lists/,1307,98,73,0,25
https://www.pinterest.com/ClarityBucketLists/movie-bucket-lists/,1129,56,47,0,9
https://www.pinterest.com/ClarityBucketLists/party-celebration-bucket-lists/,972,51,42,0,9
https://www.pinterest.com/ClarityBucketLists/books-learning-culture/,954,57,39,0,15
https://www.pinterest.com/ClarityBucketLists/career-learn-new-skills/,734,30,18,1,11
https://www.pinterest.com/ClarityBucketLists/digital-detox-slow-living-bucket-lists/,575,38,31,0,7
https://www.pinterest.com/ClarityBucketLists/creative-hobby-bucket-lists/,543,14,12,0,2
https://www.pinterest.com/ClarityBucketLists/manifestation-bucket-lists-rituals/,475,46,42,0,5
https://www.pinterest.com/ClarityBucketLists/christmas-winter-bucket-lists/,401,20,20,0,1
https://www.pinterest.com/ClarityBucketLists/glow-up-that-girl-era-bucket-lists/,283,25,20,0,5
https://www.pinterest.com/ClarityBucketLists/wellness-fitness/,205,6,3,0,3
https://www.pinterest.com/ClarityBucketLists/travel-festivals/,172,6,6,0,0
https://www.pinterest.com/ClarityBucketLists/luxury-lifestyle-bucket-lists/,148,6,5,0,1
https://www.pinterest.com/ClarityBucketLists/seasons-bucket-lists-restored/,135,6,6,0,0
https://www.pinterest.com/ClarityBucketLists/food-bucket-lists-restored/,131,6,6,0,0
https://www.pinterest.com/ClarityBucketLists/halloween-bucket-list-restored/,66,0,0,0,0
https://www.pinterest.com/ClarityBucketLists/self-improvement-restored/,1,0,0,0,0
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2026-09-21, which gets adjusted as it's verified over time."

Top Pins 2026-08-23 - 2026-09-22
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/1100356121459093715/,Organic,From you,No,64442
https://www.pinterest.com/pin/1100356121452234165/,Organic,From you,No,16228
https://www.pinterest.com/pin/1100356121455145079/,Organic,From you,No,12547
https://www.pinterest.com/pin/1100356121452139465/,Organic,From you,No,10756
https://www.pinterest.com/pin/1100356121462085246/,Organic,From you,No,9814
https://www.pinterest.com/pin/1100356121464965636/,Organic,From you,No,8237
https://www.pinterest.com/pin/1100356121452166774/,Organic,From you,No,7350
https://www.pinterest.com/pin/1100356121467473846/,Organic,From you,No,6230
https://www.pinterest.com/pin/1100356121455108094/,Organic,From you,No,5001
https://www.pinterest.com/pin/1100356121455161925/,Organic,From you,No,3649
https://www.pinterest.com/pin/1100356121464974599/,Organic,From you,No,3336
https://www.pinterest.com/pin/1100356121459093628/,Organic,From you,No,3282
https://www.pinterest.com/pin/1100356121463161276/,Organic,From you,No,2843
https://www.pinterest.com/pin/1100356121463097534/,Organic,From you,No,2739
https://www.pinterest.com/pin/1100356121457676232/,Organic,From you,No,2315
https://www.pinterest.com/pin/1100356121465042356/,Organic,From you,No,2018
https://www.pinterest.com/pin/1100356121461967790/,Organic,From you,No,1955
https://www.pinterest.com/pin/1100356121486286731/,Organic,From you,Yes,1728
https://www.pinterest.com/pin/1100356121458726809/,Organic,From you,No,1564
https://www.pinterest.com/pin/1100356121465026811/,Organic,From you,No,1535
https://www.pinterest.com/pin/1100356121462050938/,Organic,From you,No,1458
https://www.pinterest.com/pin/1100356121465154350/,Organic,From you,No,1340
https://www.pinterest.com/pin/1100356121463268423/,Organic,From you,No,1276
https://www.pinterest.com/pin/1100356121463300412/,Organic,From you,No,1244
https://www.pinterest.com/pin/1100356121459193552/,Organic,From you,No,1175
https://www.pinterest.com/pin/1100356121465060974/,Organic,From you,No,1130
https://www.pinterest.com/pin/1100356121459321041/,Organic,From you,No,1088
https://www.pinterest.com/pin/1100356121465194263/,Organic,From you,No,1022
https://www.pinterest.com/pin/1100356121463053848/,Organic,From you,No,746
https://www.pinterest.com/pin/1100356121464997311/,Organic,From you,No,685
https://www.pinterest.com/pin/1100356121462040948/,Organic,From you,No,559
https://www.pinterest.com/pin/1100356121487065716/,Organic,From you,No,551
https://www.pinterest.com/pin/1100356121459183301/,Organic,From you,No,505
https://www.pinterest.com/pin/1100356121486606440/,Organic,From you,No,461
https://www.pinterest.com/pin/1100356121452226070/,Organic,From you,No,454
https://www.pinterest.com/pin/1100356121457690709/,Organic,From you,No,425
https://www.pinterest.com/pin/1100356121452233943/,Organic,From you,No,388
https://www.pinterest.com/pin/1100356121452234019/,Organic,From you,No,360
https://www.pinterest.com/pin/1100356121487253536/,Organic,From you,No,351
https://www.pinterest.com/pin/1100356121467469102/,Organic,From you,No,332
https://www.pinterest.com/pin/1100356121465087591/,Organic,From you,No,329
https://www.pinterest.com/pin/1100356121486364374/,Organic,From you,No,326
https://www.pinterest.com/pin/1100356121458624873/,Organic,From you,No,293
https://www.pinterest.com/pin/1100356121463085623/,Organic,From you,No,270
https://www.pinterest.com/pin/1100356121487541120/,Organic,From you,No,259
https://www.pinterest.com/pin/1100356121467572047/,Organic,From you,No,226
https://www.pinterest.com/pin/1100356121486525554/,Organic,From you,No,225
https://www.pinterest.com/pin/1100356121454465020/,Organic,From you,No,216
https://www.pinterest.com/pin/1100356121452139832/,Organic,From you,No,214
https://www.pinterest.com/pin/1100356121465109446/,Organic,From you,No,207
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2026-09-21, which gets adjusted as it's verified over time."

