Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-04,Monthly,199000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.921,1.045
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.888,1.264
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.786,1.542
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.594,1.616
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.579,1.793
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.566,1.505
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.491,1.824
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.371,1.789
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.294,0.79
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Door,"{'name': 'Door', 'id': '936029585073'}",0.112,1.328
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.053,0.761
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.052,1.288
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.02,1.553
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.02,0.706
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.018,0.662
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.016,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.788,1.273,House Moving,"{'name': 'House Moving', 'id': '917750177179'}",0.016,
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.805,1.251
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.792,1.083
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.62,0.825
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.522,1.091
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.414,1.068
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.257,0.721
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.171,0.554
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.133,0.396
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.084,0.589
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.044,0.239
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.036,0.607
Art,"{'name': 'Art', 'id': '961238559656'}",0.785,1.233,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.031,0.819
