Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-20,Monthly,182000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.917,1.043
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.891,1.268
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.793,1.557
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.604,1.643
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.587,1.819
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.577,1.536
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.509,1.889
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.386,1.857
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.302,0.81
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Door,"{'name': 'Door', 'id': '936029585073'}",0.121,1.427
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.058,0.827
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.057,1.394
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.022,0.77
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.021,1.608
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.02,0.723
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.017,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.792,1.295,House Moving,"{'name': 'House Moving', 'id': '917750177179'}",0.016,
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.804,1.251
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.787,1.078
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.608,0.81
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.511,1.071
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.423,1.093
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.252,0.705
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.175,0.567
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.134,0.395
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.082,0.573
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.044,0.238
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.037,0.615
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.032,0.831
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.029,1.11
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.022,0.406
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.019,0.374
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.017,0.859
Art,"{'name': 'Art', 'id': '961238559656'}",0.789,1.252,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.014,0.724
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.865,1.122
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.739,0.982
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.684,0.923
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Music,"{'name': 'Music', 'id': '936111947007'}",0.455,0.948
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.37,0.866
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.361,0.852
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.196,1.112
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Book,"{'name': 'Book', 'id': '908410600882'}",0.186,1.084
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.78,1.282,Theater,"{'name': 'Theater', 'id': '905051048835'}",0.031,1.693
Health,"{'name': 'Health', 'id': '898620064290'}",0.775,1.541,Diet and Nutrition,"{'name': 'Diet and Nutrition', 'id': '899102674037'}",0.881,1.374
Health,"{'name': 'Health', 'id': '898620064290'}",0.775,1.541,Lifestyle,"{'name': 'Lifestyle', 'id': '916100312986'}",0.469,1.052
Health,"{'name': 'Health', 'id': '898620064290'}",0.775,1.541,Medical,"{'name': 'Medical', 'id': '912753135383'}",0.124,1.351
Health,"{'name': 'Health', 'id': '898620064290'}",0.775,1.541,Weight Loss,"{'name': 'Weight Loss', 'id': '921895445919'}",0.063,1.427
Education,"{'name': 'Education', 'id': '922134410098'}",0.774,1.389,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.943,1.012
Education,"{'name': 'Education', 'id': '922134410098'}",0.774,1.389,Career,"{'name': 'Career', 'id': '941720221932'}",0.304,2.279
Education,"{'name': 'Education', 'id': '922134410098'}",0.774,1.389,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.286,1.608
Education,"{'name': 'Education', 'id': '922134410098'}",0.774,1.389,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.263,1.577
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Hair,"{'name': 'Hair', 'id': '903411883690'}",0.926,1.042
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Skin Care,"{'name': 'Skin Care', 'id': '898977956499'}",0.77,1.366
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Makeup,"{'name': 'Makeup', 'id': '948264532184'}",0.507,1.229
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Nails,"{'name': 'Nails', 'id': '956143059915'}",0.454,1.293
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Bath and Body Care,"{'name': 'Bath and Body Care', 'id': '924324486050'}",0.421,1.217
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.773,1.431,Fragrance,"{'name': 'Fragrance', 'id': '942244143669'}",0.022,1.926
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Shoes,"{'name': ""Women's Shoes"", 'id': '923271066791'}",0.627,1.56
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Style,"{'name': ""Women's Style"", 'id': '947341333711'}",0.549,0.994
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Jewelry and Accessories,"{'name': ""Women's Jewelry and Accessories"", 'id': '916487219793'}",0.52,1.081
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Bag,"{'name': ""Women's Bag"", 'id': '941900382861'}",0.438,1.433
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Dress,"{'name': 'Dress', 'id': '945391946569'}",0.401,0.821
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Outfits by Occasions,"{'name': ""Women's Outfits by Occasions"", 'id': '895148303659'}",0.397,1.391
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Bottoms,"{'name': ""Women's Bottoms"", 'id': '936466861734'}",0.338,0.971
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Activewear,"{'name': ""Women's Activewear"", 'id': '900866395493'}",0.229,0.769
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Intimates,"{'name': ""Women's Intimates"", 'id': '955049894411'}",0.155,1.198
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Top,"{'name': ""Women's Top"", 'id': '945391038177'}",0.084,0.452
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.755,1.422,Women's Outerwear,"{'name': ""Women's Outerwear"", 'id': '958088257491'}",0.052,0.676
Design,"{'name': 'Design', 'id': '902065567321'}",0.747,1.347,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.724,1.098
Design,"{'name': 'Design', 'id': '902065567321'}",0.747,1.347,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.232,0.656
Design,"{'name': 'Design', 'id': '902065567321'}",0.747,1.347,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.107,0.6
Design,"{'name': 'Design', 'id': '902065567321'}",0.747,1.347,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.038,0.934
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,Meal Planning,"{'name': 'Meal Planning', 'id': '956336077278'}",0.905,1.205
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,Desserts,"{'name': 'Desserts', 'id': '897118241776'}",0.837,1.141
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,Fruit,"{'name': 'Fruit', 'id': '919979591528'}",0.524,1.625
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,Appetizers,"{'name': 'Appetizers', 'id': '918804435640'}",0.433,2.18
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,Drinks,"{'name': 'Drinks', 'id': '961675572303'}",0.416,1.062
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.745,1.661,World Cuisine,"{'name': 'World Cuisine', 'id': '936568516643'}",0.371,1.402
